date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:17	81522/81522	---M--	200	added ('OK')	image/jpeg	etag:%2213e72-5a802c54b4a40%22	https://preview.colorlib.com/theme/djoz/img/about/ap-5.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/about/ap-5.jpg	(from https://preview.colorlib.com/theme/djoz/about.html)
15:45:17	58999/58999	---M--	200	added ('OK')	image/jpeg	etag:%22e677-5a802c54b4a40%22	https://preview.colorlib.com/theme/djoz/img/about/ap-6.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/about/ap-6.jpg	(from https://preview.colorlib.com/theme/djoz/about.html)
15:45:17	141863/141863	---M--	200	added ('OK')	image/jpeg	etag:%2222a27-5a802c55a8c80%22	https://preview.colorlib.com/theme/djoz/img/about/ap-7.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/about/ap-7.jpg	(from https://preview.colorlib.com/theme/djoz/about.html)
15:45:18	1260/1260	---M--	200	added ('OK')	image/png	etag:%224ec-5a802c79e6200%22	https://preview.colorlib.com/theme/djoz/img/services/as-icon-1.png	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/services/as-icon-1.png	(from https://preview.colorlib.com/theme/djoz/about.html)
15:45:18	1459/1459	---M--	200	added ('OK')	image/png	etag:%225b3-5a802c7ada440%22	https://preview.colorlib.com/theme/djoz/img/services/as-icon-2.png	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/services/as-icon-2.png	(from https://preview.colorlib.com/theme/djoz/about.html)
15:45:18	1038/1038	---M--	200	added ('OK')	image/png	etag:%2240e-5a802c7bce680%22	https://preview.colorlib.com/theme/djoz/img/services/as-icon-3.png	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/services/as-icon-3.png	(from https://preview.colorlib.com/theme/djoz/about.html)
15:45:19	72524/72524	---M--	200	added ('OK')	image/jpeg	etag:%2211b4c-5a802c66d3500%22	https://preview.colorlib.com/theme/djoz/img/discography/disco-1.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/discography/disco-1.jpg	(from https://preview.colorlib.com/theme/djoz/discography.html)
15:45:19	5092/5092	---M--	200	added ('OK')	image/jpeg	etag:%2213e4-5a802c6d804c0%22	https://preview.colorlib.com/theme/djoz/img/discography/link-1.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/discography/link-1.jpg	(from https://preview.colorlib.com/theme/djoz/discography.html)
15:45:20	4617/4617	---M--	200	added ('OK')	image/jpeg	etag:%221209-5a802c6e74700%22	https://preview.colorlib.com/theme/djoz/img/discography/link-2.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/discography/link-2.jpg	(from https://preview.colorlib.com/theme/djoz/discography.html)
15:45:21	85382/85382	---M--	200	added ('OK')	image/jpeg	etag:%2214d86-5a802c65df2c0%22	https://preview.colorlib.com/theme/djoz/img/discography/disco-2.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/discography/disco-2.jpg	(from https://preview.colorlib.com/theme/djoz/discography.html)
15:45:21	77670/77670	---M--	200	added ('OK')	image/jpeg	etag:%2212f66-5a802c6c8c280%22	https://preview.colorlib.com/theme/djoz/img/discography/disco-3.jpg	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/discography/disco-3.jpg	(from https://preview.colorlib.com/theme/djoz/discography.html)
